width 10
height 10
(5.0, 0.3, 2.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.3, 3.0)	(0.0, 0.0, 0.0)	1	
(5.0, 0.3, 4.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.3, 5.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.3, 6.0)	(0.0, 0.0, 0.0)	1	
(5.0, 0.3, 7.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.3, 8.0)	(0.0, 0.0, 0.0)	0	
(5.0, 0.3, 9.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.3, 0.0)	(0.0, 0.0, 0.0)	1	
(6.0, 0.3, 1.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.3, 2.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.3, 3.0)	(0.0, 0.0, 0.0)	1	
(6.0, 0.3, 4.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.3, 5.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.3, 6.0)	(0.0, 0.0, 0.0)	1	
(6.0, 0.3, 7.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.3, 8.0)	(0.0, 0.0, 0.0)	0	
(6.0, 0.3, 9.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.3, 0.0)	(0.0, 0.0, 0.0)	1	
(7.0, 0.3, 1.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.3, 2.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.3, 3.0)	(0.0, 0.0, 0.0)	1	
(7.0, 0.3, 4.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.3, 5.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.3, 6.0)	(0.0, 0.0, 0.0)	1	
(7.0, 0.3, 7.0)	(0.0, 90.0, 0.0)	0	
(7.0, 0.3, 8.0)	(0.0, 0.0, 0.0)	0	
(7.0, 0.3, 9.0)	(0.0, 0.0, 0.0)	0	
(8.0, 0.3, 0.0)	(0.0, 90.0, 0.0)	2	
(8.0, 0.3, 1.0)	(0.0, 90.0, 0.0)	1	
(8.0, 0.3, 2.0)	(0.0, 90.0, 0.0)	1	
(8.0, 0.3, 3.0)	(0.0, 0.0, 0.0)	2	
(8.0, 0.3, 4.0)	(0.0, 0.0, 0.0)	0	
(8.0, 0.3, 5.0)	(0.0, 90.0, 0.0)	0	
(8.0, 0.3, 6.0)	(0.0, 90.0, 0.0)	2	
(8.0, 0.3, 7.0)	(0.0, 90.0, 0.0)	1	
(8.0, 0.3, 8.0)	(0.0, 90.0, 0.0)	1	
(8.0, 0.3, 9.0)	(0.0, 270.0, 0.0)	4	
(9.0, 0.3, 0.0)	(0.0, 0.0, 0.0)	0	
(9.0, 0.3, 1.0)	(0.0, 0.0, 0.0)	0	
(9.0, 0.3, 2.0)	(0.0, 0.0, 0.0)	0	
(9.0, 0.3, 3.0)	(0.0, 0.0, 0.0)	0	
(9.0, 0.3, 4.0)	(0.0, 0.0, 0.0)	0	
(9.0, 0.3, 5.0)	(0.0, 0.0, 0.0)	0	
(9.0, 0.3, 6.0)	(0.0, 0.0, 0.0)	0	
(9.0, 0.3, 7.0)	(0.0, 0.0, 0.0)	0	
(9.0, 0.3, 8.0)	(0.0, 0.0, 0.0)	0	
(9.0, 0.3, 9.0)	(0.0, 0.0, 0.0)	0	
PathCount 7
1	0
8	0
8	3
1	3
1	6
8	6
8	9
